intID	RA_0h_score	RA_0h_N	RA_0h_N.1	RA_0h_N.2	RA_72h_score	RA_72h_N	RA_72h_N.1	RA_72h_N.2	baitID	otherEndID	seqnames_otherEnd	start_otherEnd	end_otherEnd	seqnames_bait	start_bait	end_bait	RA_0h_N.1_downsampled	RA_0h_N.2_downsampled	RA_72h_N.1_downsampled	RA_72h_N.2_downsampled	RA_0h_N_downsampled	RA_72h_N_downsampled	genename	RA_0h_rep1_score	RA_0h_rep2_score	RA_72h_rep1_score	RA_72h_rep2_score	K27ac_peaks_bait	K27me3_peaks_bait	K27ac_peaks_otherEnd	K27me3_peaks_otherEnd	re_id_K27ac_peaks	chr_K27ac_peaks	start_K27ac_peaks	end_K27ac_peaks
3958676;3958584	5.30258956093722	85	93	74	2.82243848601409	40	37	43	3958676	3958584	chr11	96309046	96309674	chr11	96343553	96345280	71.1039673479937	74	36.6733279536716	35.4145992311065	85	37.7925615280247	Hoxb3	3.70980007635951	3.43708302903279	2.11542509431791	2.38217230329733	TRUE	TRUE	TRUE	TRUE	3958594	chr11	96309239	96315767
3958676;3958608	5.09373147597881	114	126	99	5.77430171758659	75	63	86	3958676	3958608	chr11	96317195	96318052	chr11	96343553	96345280	96.3344073747012	99	62.4437746238192	70.8291984622131	114	70.8610528650463	Hoxb3	3.43433947669482	3.69686329252754	3.27797598040902	3.97521648637783	TRUE	TRUE	TRUE	TRUE	3958608	chr11	96316718	96317732
3958676;3958608	5.09373147597881	114	126	99	5.77430171758659	75	63	86	3958676	3958608	chr11	96317195	96318052	chr11	96343553	96345280	96.3344073747012	99	62.4437746238192	70.8291984622131	114	70.8610528650463	Hoxb3	3.43433947669482	3.69686329252754	3.27797598040902	3.97521648637783	TRUE	TRUE	TRUE	TRUE	3958611	chr11	96318681	96321536
3958676;3959263	1.73536943419903	12	14	9	5.28738826032462	19	17	20	3958676	3959263	chr11	96577316	96578093	chr11	96343553	96345280	10.7038230416335	9	16.8499074381734	16.4719066191193	12	17.9514667258117	Hoxb3	1.65845167838155	0.941355573689474	3.65851416972743	3.3814855746765	TRUE	TRUE	TRUE	FALSE	3959266	chr11	96574683	96583827
3958676;3959265	1.08758258034747	9	9	10	8.57348616494596	23	24	22	3958676	3959265	chr11	96578169	96579142	chr11	96343553	96345280	6.88102909819294	10	23.7881046185978	18.1190972810313	9	21.7307228786142	Hoxb3	0.605810231201835	1.19436217748133	6.34869543793547	4.47669691064679	TRUE	TRUE	TRUE	FALSE	3959266	chr11	96574683	96583827
3958676;3959268	1.76979819269859	11	9	13	5.64572991552618	17	18	16	3958676	3959268	chr11	96579625	96580356	chr11	96343553	96345280	6.88102909819294	13	17.8410784639484	13.1775252952955	11	16.0618386494105	Hoxb3	0.610052492997976	1.95477230508621	4.44172239859169	2.91987495931598	TRUE	TRUE	TRUE	FALSE	3959266	chr11	96574683	96583827
3958676;3959273	2.84309182518147	14	18	10	5.68347497690744	17	14	19	3958676	3959273	chr11	96581498	96582220	chr11	96343553	96345280	13.7620581963859	10	13.8763943608487	15.6483112881634	14	16.0618386494105	Hoxb3	2.55534750482344	1.21227181101159	3.17553168094514	3.73382396564886	TRUE	TRUE	TRUE	FALSE	3959266	chr11	96574683	96583827
3958676;3959277	3.60015232112482	16	18	13	7.21818248967289	20	16	24	3958676	3959277	chr11	96583666	96584304	chr11	96343553	96345280	13.7620581963859	13	15.8587364123985	19.7662879429432	16	18.8962807640123	Hoxb3	2.57933444247305	1.98971317165941	3.8527079601157	5.09804485093898	TRUE	TRUE	TRUE	FALSE	3959266	chr11	96574683	96583827
3958676;3959309	1.55188689610241	10	11	9	6.99292956661214	19	13	24	3958676	3959309	chr11	96595510	96596141	chr11	96343553	96345280	8.41014667556915	9	12.8852233350738	19.7662879429432	10	17.9514667258117	Hoxb3	1.11600256776025	1.02584315152267	2.99778282525469	5.31500764592355	TRUE	TRUE	TRUE	FALSE	3959310	chr11	96595530	96596831
3958676;3959316	0.857214611868764	8	8	8	5.24509104871548	18	16	20	3958676	3959316	chr11	96597501	96598085	chr11	96343553	96345280	6.11647030950483	8	15.8587364123985	16.4719066191193	8	17.0066526876111	Hoxb3	0.441852645098502	0.767235202400533	3.40584357417583	3.63597392868603	TRUE	TRUE	FALSE	FALSE	3959310	chr11	96595530	96596831
3958676;3959355	1.79607629594491	11	14	7	6.50594356659707	17	13	20	3958676	3959355	chr11	96622627	96623749	chr11	96343553	96345280	10.7038230416335	7	12.8852233350738	16.4719066191193	11	16.0618386494105	Hoxb3	1.54482353171697	0.574460339392576	3.28796578033088	4.60419641790718	TRUE	TRUE	TRUE	FALSE	3959354	chr11	96622120	96622924
3958676;3959406	2.37930902160412	11	15	5	5.19575667736156	14	19	9	3958676	3959406	chr11	96644886	96645747	chr11	96343553	96345280	11.4683818303216	5	18.8322494897233	7.4123579786037	11	13.2273965348086	Hoxb3	2.48952652366082	0.0141531260203589	5.91487404290152	1.36065688857663	TRUE	TRUE	TRUE	FALSE	3959408	chr11	96645486	96646518
3958676;3959448	0.371818077327383	6	7	4	5.52411061870219	14	11	17	3958676	3959448	chr11	96667139	96667584	chr11	96343553	96345280	5.35191152081673	4	10.902881283524	14.0011206262514	6	13.2273965348086	Hoxb3	0.366056753640562	0	2.92561041288454	4.23309388887948	TRUE	TRUE	TRUE	FALSE	3959447	chr11	96666469	96666997
3958676;3959448	0.371818077327383	6	7	4	5.52411061870219	14	11	17	3958676	3959448	chr11	96667139	96667584	chr11	96343553	96345280	5.35191152081673	4	10.902881283524	14.0011206262514	6	13.2273965348086	Hoxb3	0.366056753640562	0	2.92561041288454	4.23309388887948	TRUE	TRUE	TRUE	FALSE	3959448	chr11	96667277	96667745
3958676;3960319	5.32786558979026	10	10	9	0.0811986712615056	4	2	6	3958676	3960319	chr11	97022112	97023267	chr11	96343553	96345280	7.64558788688104	9	1.98234205154982	4.9415719857358	10	3.77925615280247	Hoxb3	3.83741569465478	4.14712436870661	0	1.14282926704147	TRUE	TRUE	TRUE	FALSE	3960319	chr11	97022052	97022321
