intID	RA_0h_score	RA_0h_N	RA_0h_N.1	RA_0h_N.2	RA_72h_score	RA_72h_N	RA_72h_N.1	RA_72h_N.2	baitID	otherEndID	seqnames_otherEnd	start_otherEnd	end_otherEnd	seqnames_bait	start_bait	end_bait	RA_0h_N.1_downsampled	RA_0h_N.2_downsampled	RA_72h_N.1_downsampled	RA_72h_N.2_downsampled	RA_0h_N_downsampled	RA_72h_N_downsampled	genename	RA_0h_rep1_score	RA_0h_rep2_score	RA_72h_rep1_score	RA_72h_rep2_score	K27ac_peaks_bait	K27me3_peaks_bait	K27ac_peaks_otherEnd	K27me3_peaks_otherEnd	re_id_K27me3_peaks	chr_K27me3_peaks	start_K27me3_peaks	end_K27me3_peaks
3958676;3958496	6.25330791050323	54	61	45	1.66968849469856	15	19	12	3958676	3958496	chr11	96269809	96270683	chr11	96343553	96345280	46.6380861099744	45	18.8322494897233	9.88314397147159	54	14.1722105730093	Hoxb3	4.31140350851765	3.68481118599843	1.9606854196567	0.881947160230363	TRUE	TRUE	FALSE	TRUE	3958502	chr11	101961570	101965270
3958676;3958497	7.49865044363811	63	76	47	1.50381536505818	16	15	17	3958676	3958497	chr11	96270684	96271582	chr11	96343553	96345280	58.1064679402959	47	14.8675653866236	14.0011206262514	63	15.1170246112099	Hoxb3	5.4350734413606	3.83135534750379	1.44759400975102	1.08056778432978	TRUE	TRUE	FALSE	TRUE	3958502	chr11	101961570	101965270
3958676;3958498	6.85005111134853	59	52	67	0.928439420620405	13	11	14	3958676	3958498	chr11	96271583	96272051	chr11	96343553	96345280	39.7570570117814	67	10.902881283524	11.5303346333835	59	12.282582496608	Hoxb3	3.54628742941773	5.61091728235039	0.834600241034849	0.911897537929587	TRUE	TRUE	FALSE	TRUE	3958502	chr11	101961570	101965270
3958676;3958503	7.37314308683945	64	72	55	2.31336216912162	19	20	18	3958676	3958503	chr11	96273619	96274200	chr11	96343553	96345280	55.0482327855435	55	19.8234205154982	14.8247159572074	64	17.9514667258117	Hoxb3	4.96721936696888	4.41997308373876	2.01020988849193	1.45972490123116	TRUE	TRUE	FALSE	TRUE	3958502	chr11	101961570	101965270
3958676;3958504	5.34467466944385	55	52	58	1.75522131668163	19	20	19	3958676	3958504	chr11	96274201	96274502	chr11	96343553	96345280	39.7570570117814	58	19.8234205154982	15.6483112881634	55	17.9514667258117	Hoxb3	3.44747450594509	4.66106801564631	1.79525334421357	1.33591125405423	TRUE	TRUE	FALSE	TRUE	3958502	chr11	101961570	101965270
3958676;3958505	7.61317175412988	78	91	61	2.66608995320905	25	14	34	3958676	3958505	chr11	96274503	96275383	chr11	96343553	96345280	69.5748497706175	61	13.8763943608487	28.0022412525028	78	23.6203509550154	Hoxb3	6.32383211123474	4.29599454979745	1.27590295443048	2.4412452417399	TRUE	TRUE	FALSE	TRUE	3958502	chr11	101961570	101965270
3958676;3958507	8.5567315507199	74	83	62	3.69824233663718	29	26	32	3958676	3958507	chr11	96275410	96276729	chr11	96343553	96345280	63.4583794611127	62	25.7704466701476	26.3550505905909	74	27.3996071078179	Hoxb3	5.65246757336674	4.91319586764053	2.67317006154492	2.81256216603712	TRUE	TRUE	FALSE	TRUE	3958502	chr11	101961570	101965270
3958676;3958512	6.63389624208675	69	69	69	3.39259942773711	26	28	24	3958676	3958512	chr11	96278583	96280168	chr11	96343553	96345280	52.7545564194792	69	27.7527887216974	19.7662879429432	69	24.565164993216	Hoxb3	4.44430375429618	4.67345594983259	2.80270561670737	1.95447790991795	TRUE	TRUE	FALSE	TRUE	3958502	chr11	101961570	101965270
3958676;3958512	6.63389624208675	69	69	69	3.39259942773711	26	28	24	3958676	3958512	chr11	96278583	96280168	chr11	96343553	96345280	52.7545564194792	69	27.7527887216974	19.7662879429432	69	24.565164993216	Hoxb3	4.44430375429618	4.67345594983259	2.80270561670737	1.95447790991795	TRUE	TRUE	FALSE	TRUE	3958517	chr11	102025455	102025780
3958676;3958514	8.35046545800805	77	86	65	3.10659860533507	27	26	27	3958676	3958514	chr11	96280841	96281511	chr11	96343553	96345280	65.752055827177	65	25.7704466701476	22.2370739358111	77	25.5099790314167	Hoxb3	5.51687607140838	4.85772350750311	2.52088977763167	2.19656514055045	TRUE	TRUE	FALSE	TRUE	3958517	chr11	102025455	102025780
3958676;3958517	8.33782789927672	78	80	76	2.55136200173662	22	24	20	3958676	3958517	chr11	96281897	96282748	chr11	96343553	96345280	61.1647030950484	76	23.7881046185978	16.4719066191193	78	20.7859088404136	Hoxb3	5.02856265625602	5.66275915944468	2.26711802503008	1.52687369650274	TRUE	TRUE	FALSE	TRUE	3958517	chr11	102025455	102025780
3958676;3958518	5.58716387634834	57	62	51	2.02358622075035	19	17	20	3958676	3958518	chr11	96282749	96283262	chr11	96343553	96345280	47.4026448986625	51	16.8499074381734	16.4719066191193	57	17.9514667258117	Hoxb3	3.77482506421642	3.64166620477389	1.49204321593259	1.51564711272441	TRUE	TRUE	FALSE	TRUE	3958517	chr11	102025455	102025780
3958676;3958519	10.3359227036535	95	110	77	2.67283444430233	26	24	28	3958676	3958519	chr11	96283263	96284265	chr11	96343553	96345280	84.1014667556915	77	23.7881046185978	23.0606692667671	95	24.565164993216	Hoxb3	6.93687640109044	5.63436025334525	2.22727372663445	1.77393118420472	TRUE	TRUE	TRUE	TRUE	3958517	chr11	102025455	102025780
3958676;3958520	8.06564142655902	78	86	68	1.88335583336039	20	14	25	3958676	3958520	chr11	96284266	96284679	chr11	96343553	96345280	65.752055827177	68	13.8763943608487	20.5898832738992	78	18.8962807640123	Hoxb3	5.28417898107459	4.88439845326876	1.02367638237253	1.93747639724967	TRUE	TRUE	TRUE	TRUE	3958517	chr11	102025455	102025780
3958676;3958522	7.60641394732148	75	77	73	2.93773691802207	25	23	26	3958676	3958522	chr11	96284761	96285534	chr11	96343553	96345280	58.871026728984	73	22.7969335928229	21.4134786048551	75	23.6203509550154	Hoxb3	4.64785763578706	5.22318750573181	2.08336542552651	2.01095894441491	TRUE	TRUE	TRUE	TRUE	3958517	chr11	102025455	102025780
3958676;3958522	7.60641394732148	75	77	73	2.93773691802207	25	23	26	3958676	3958522	chr11	96284761	96285534	chr11	96343553	96345280	58.871026728984	73	22.7969335928229	21.4134786048551	75	23.6203509550154	Hoxb3	4.64785763578706	5.22318750573181	2.08336542552651	2.01095894441491	TRUE	TRUE	TRUE	TRUE	3958529	chr11	102026288	102026651
3958676;3958525	6.49324497096928	67	82	48	2.07259067274286	20	16	24	3958676	3958525	chr11	96286117	96286495	chr11	96343553	96345280	62.6938206724246	48	15.8587364123985	19.7662879429432	67	18.8962807640123	Hoxb3	4.89633454920668	3.25890747083689	1.33029838150145	1.80906442563471	TRUE	TRUE	FALSE	TRUE	3958517	chr11	102025455	102025780
3958676;3958525	6.49324497096928	67	82	48	2.07259067274286	20	16	24	3958676	3958525	chr11	96286117	96286495	chr11	96343553	96345280	62.6938206724246	48	15.8587364123985	19.7662879429432	67	18.8962807640123	Hoxb3	4.89633454920668	3.25890747083689	1.33029838150145	1.80906442563471	TRUE	TRUE	FALSE	TRUE	3958529	chr11	102026288	102026651
3958676;3958526	8.9917961259235	88	96	78	2.3719128187946	22	17	27	3958676	3958526	chr11	96286496	96287101	chr11	96343553	96345280	73.397643714058	78	16.8499074381734	22.2370739358111	88	20.7859088404136	Hoxb3	5.75819499100651	5.47981904243161	1.42409954412242	2.0585599526073	TRUE	TRUE	TRUE	TRUE	3958529	chr11	102026288	102026651
3958676;3958532	5.88900957400214	65	78	48	1.94823491110305	20	22	18	3958676	3958532	chr11	96289522	96290052	chr11	96343553	96345280	59.6355855176721	48	21.805762567048	14.8247159572074	65	18.8962807640123	Hoxb3	4.41444264955056	3.10166555769094	1.85994662398904	1.23527457616347	TRUE	TRUE	FALSE	TRUE	3958529	chr11	102026288	102026651
3958676;3958532	5.88900957400214	65	78	48	1.94823491110305	20	22	18	3958676	3958532	chr11	96289522	96290052	chr11	96343553	96345280	59.6355855176721	48	21.805762567048	14.8247159572074	65	18.8962807640123	Hoxb3	4.41444264955056	3.10166555769094	1.85994662398904	1.23527457616347	TRUE	TRUE	FALSE	TRUE	3958562	chr11	102105978	102108495
3958676;3958534	6.83330288038388	75	90	57	1.79047966473382	23	18	27	3958676	3958534	chr11	96291106	96291764	chr11	96343553	96345280	68.8102909819294	57	17.8410784639484	22.2370739358111	75	21.7307228786142	Hoxb3	5.02284979290033	3.65262162222123	1.21190940463616	1.94080184190386	TRUE	TRUE	FALSE	TRUE	3958529	chr11	102026288	102026651
3958676;3958534	6.83330288038388	75	90	57	1.79047966473382	23	18	27	3958676	3958534	chr11	96291106	96291764	chr11	96343553	96345280	68.8102909819294	57	17.8410784639484	22.2370739358111	75	21.7307228786142	Hoxb3	5.02284979290033	3.65262162222123	1.21190940463616	1.94080184190386	TRUE	TRUE	FALSE	TRUE	3958562	chr11	102105978	102108495
3958676;3958537	6.63717993714615	75	85	62	1.60892819394827	20	24	16	3958676	3958537	chr11	96292739	96293278	chr11	96343553	96345280	64.9874970384889	62	23.7881046185978	13.1775252952955	75	18.8962807640123	Hoxb3	4.61086760552767	3.9045825244638	1.76814295601239	1.02822196694996	TRUE	TRUE	FALSE	TRUE	3958562	chr11	102105978	102108495
3958676;3958541	6.79110671768347	78	89	65	3.07717484039039	29	26	31	3958676	3958541	chr11	96294125	96294570	chr11	96343553	96345280	68.0457321932413	65	25.7704466701476	25.5314552596349	78	27.3996071078179	Hoxb3	4.74153886449959	4.02153681938052	2.10752248990209	2.17648435830194	TRUE	TRUE	FALSE	TRUE	3958562	chr11	102105978	102108495
3958676;3958542	6.99163669059526	81	83	78	3.21083840045213	36	40	33	3958676	3958542	chr11	96294571	96295906	chr11	96343553	96345280	63.4583794611127	78	39.6468410309963	27.1786459215469	81	34.0133053752222	Hoxb3	4.33636792783484	4.81717084483773	3.03746931837852	2.009042677333	TRUE	TRUE	FALSE	TRUE	3958562	chr11	102105978	102108495
3958676;3958547	5.37720875561685	67	70	63	1.98017909001826	24	21	26	3958676	3958547	chr11	96296328	96296723	chr11	96343553	96345280	53.5191152081673	63	20.8145915412731	21.4134786048551	67	22.6755369168148	Hoxb3	3.53162845833714	3.7500583843384	1.59302976114572	1.7312745407432	TRUE	TRUE	FALSE	TRUE	3958562	chr11	102105978	102108495
3958676;3958550	5.31333909643853	67	75	57	3.48331764985145	33	29	36	3958676	3958550	chr11	96296803	96297397	chr11	96343553	96345280	57.3419091516078	57	28.7439597474723	29.6494319144148	67	31.1788632606204	Hoxb3	3.76861232495952	3.3325522395443	2.28041604397169	2.46323697838465	TRUE	TRUE	FALSE	TRUE	3958562	chr11	102105978	102108495
3958676;3958559	6.70210282495577	85	99	67	3.67670493862389	36	32	39	3958676	3958559	chr11	96299938	96300289	chr11	96343553	96345280	75.6913200801223	67	31.7174728247971	32.1202179072827	85	34.0133053752222	Hoxb3	4.80907278928883	3.75895679736322	2.41499567068316	2.56028584426834	TRUE	TRUE	FALSE	TRUE	3958562	chr11	102105978	102108495
3958676;3958560	5.87315037825298	77	77	76	1.77208560054393	26	25	26	3958676	3958560	chr11	96300290	96300786	chr11	96343553	96345280	58.871026728984	76	24.7792756443727	21.4134786048551	77	24.565164993216	Hoxb3	3.64705139631213	4.26690018722668	1.54995280909924	1.4143262246623	TRUE	TRUE	FALSE	TRUE	3958562	chr11	102105978	102108495
3958676;3958562	5.30689588507167	72	81	61	2.82811581708939	33	28	38	3958676	3958562	chr11	96300820	96301748	chr11	96343553	96345280	61.9292618837365	61	27.7527887216974	31.2966225763267	72	31.1788632606204	Hoxb3	3.79773325624379	3.32423707679023	2.03706930542627	2.13362718038043	TRUE	TRUE	FALSE	TRUE	3958562	chr11	102105978	102108495
3958676;3958563	5.87807676407433	79	96	57	3.45198031134257	40	42	39	3958676	3958563	chr11	96301749	96302040	chr11	96343553	96345280	73.397643714058	57	41.6291830825462	32.1202179072827	79	37.7925615280247	Hoxb3	4.50084553428234	3.05331951122136	2.85044191500508	2.4833526238018	TRUE	TRUE	FALSE	TRUE	3958562	chr11	102105978	102108495
3958676;3958566	6.3954356707394	86	98	70	3.71886579199233	38	43	34	3958676	3958566	chr11	96302590	96302986	chr11	96343553	96345280	74.9267612914342	70	42.6203541083211	28.0022412525028	86	35.9029334516235	Hoxb3	4.52127270361925	3.74193623384003	3.17315285148516	2.10569053335053	TRUE	TRUE	FALSE	TRUE	3958562	chr11	102105978	102108495
3958676;3958567	5.99980907516141	91	107	72	3.55305002042079	37	34	40	3958676	3958567	chr11	96302987	96303361	chr11	96343553	96345280	81.8077903896272	72	33.6998148763469	32.9438132382386	91	34.9581194134228	Hoxb3	4.160063084462	3.82651336644827	2.437393806848	2.49458576996303	TRUE	TRUE	FALSE	TRUE	3958562	chr11	102105978	102108495
3958676;3958571	7.5041280063389	111	129	88	5.03236763023109	53	58	48	3958676	3958571	chr11	96303770	96304264	chr11	96343553	96345280	98.6280837407655	88	57.4879194949447	39.5325758858864	111	50.0751440246327	Hoxb3	5.89617622952254	4.65425481523853	4.26802016621194	2.6171360257201	TRUE	TRUE	TRUE	TRUE	3958562	chr11	102105978	102108495
3958676;3958584	5.30258956093722	85	93	74	2.82243848601409	40	37	43	3958676	3958584	chr11	96309046	96309674	chr11	96343553	96345280	71.1039673479937	74	36.6733279536716	35.4145992311065	85	37.7925615280247	Hoxb3	3.70980007635951	3.43708302903279	2.11542509431791	2.38217230329733	TRUE	TRUE	TRUE	TRUE	3958562	chr11	102105978	102108495
3958676;3958608	5.09373147597881	114	126	99	5.77430171758659	75	63	86	3958676	3958608	chr11	96317195	96318052	chr11	96343553	96345280	96.3344073747012	99	62.4437746238192	70.8291984622131	114	70.8610528650463	Hoxb3	3.43433947669482	3.69686329252754	3.27797598040902	3.97521648637783	TRUE	TRUE	TRUE	TRUE	3958606	chr11	102398677	102399110
3958676;3958608	5.09373147597881	114	126	99	5.77430171758659	75	63	86	3958676	3958608	chr11	96317195	96318052	chr11	96343553	96345280	96.3344073747012	99	62.4437746238192	70.8291984622131	114	70.8610528650463	Hoxb3	3.43433947669482	3.69686329252754	3.27797598040902	3.97521648637783	TRUE	TRUE	TRUE	TRUE	3958615	chr11	102438526	102438830
3958676;3960283	5.23777505249434	10	8	12	0	3	2	3	3958676	3960283	chr11	97012324	97013398	chr11	96343553	96345280	6.11647030950483	12	1.98234205154982	2.4707859928679	10	2.83444211460185	Hoxb3	2.46365415623227	6.31199055412371	0	0	TRUE	TRUE	FALSE	FALSE	3960289	chr11	103198805	103199361
3958676;3960305	5.28781753130363	10	10	10	0	3	1	4	3958676	3960305	chr11	97018189	97018450	chr11	96343553	96345280	7.64558788688104	10	0.991171025774909	3.29438132382386	10	2.83444211460185	Hoxb3	3.79981836572087	4.86507522334183	0	0.124391869090889	TRUE	TRUE	FALSE	TRUE	3960305	chr11	103217343	103217688
